age_group_id,age_group_name,location_id,location_name,measure_id,measure_name,metric_id,metric_name,sex_id,sex,year_id,year_name,cause_id,cause_name
1,Under 5,1,Global,1,Deaths,1,Number,1,Male,1980,1980,294,All causes
2,Early Neonatal,44637,Low SDI,2,DALYs (Disability-Adjusted Life Years),2,Percent,2,Female,1981,1981,295,"Communicable, maternal, neonatal, and nutritional diseases"
3,Late Neonatal,44636,Low-middle SDI,3,YLDs (Years Lived with Disability),3,Rate,3,Both,1982,1982,955,HIV/AIDS and sexually transmitted infections
4,Post Neonatal,44639,Middle SDI,4,YLLs (Years of Life Lost),,,,,1983,1983,298,HIV/AIDS
5,1 to 4,44634,High-middle SDI,5,Prevalence,,,,,1984,1984,948,HIV/AIDS - Drug-susceptible Tuberculosis
6,5 to 9,44635,High SDI,6,Incidence,,,,,1985,1985,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance
7,10 to 14,31,"Central Europe, Eastern Europe, and Central Asia",25,Maternal mortality ratio,,,,,1986,1986,950,HIV/AIDS - Extensively drug-resistant Tuberculosis
8,15 to 19,32,Central Asia,27,Probability of death,,,,,1987,1987,300,HIV/AIDS resulting in other diseases
9,20 to 24,33,Armenia,,,,,,,1988,1988,393,Sexually transmitted infections excluding HIV
10,25 to 29,34,Azerbaijan,,,,,,,1989,1989,394,Syphilis
11,30 to 34,35,Georgia,,,,,,,1990,1990,395,Chlamydial infection
12,35 to 39,36,Kazakhstan,,,,,,,1991,1991,396,Gonococcal infection
13,40 to 44,37,Kyrgyzstan,,,,,,,1992,1992,399,Other sexually transmitted infections
14,45 to 49,38,Mongolia,,,,,,,1993,1993,956,Respiratory infections and tuberculosis
15,50 to 54,39,Tajikistan,,,,,,,1994,1994,297,Tuberculosis
16,55 to 59,40,Turkmenistan,,,,,,,1995,1995,934,Drug-susceptible tuberculosis
17,60 to 64,41,Uzbekistan,,,,,,,1996,1996,946,Multidrug-resistant tuberculosis without extensive drug resistance
18,65 to 69,42,Central Europe,,,,,,,1997,1997,947,Extensively drug-resistant tuberculosis
19,70 to 74,43,Albania,,,,,,,1998,1998,322,Lower respiratory infections
